CookerStat, GenerateAssetRegistry=0.026897, Initialize=0.133518, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDB0FB7247B49752BFDFB785BBA98A54_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=31.241144, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D48B8F74452C6377E3E73F902BF37__BE10B5F4790ACAFF83698E7DEAE93CAC5F1CE0FE, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=8.654616, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D48B8F74452C6377E3E73F902BF37__40337E8340630BE31899CD660B68421AC0E8AF0E, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=9.892132, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDB0FB7247B49752BFDFB785BBA98__BE4639F2B64CC8FEB53D99CC7A4EDC6A1CD40A80, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=3.102277, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDB0FB7247B49752BFDFB785BBA98__797B733637460290CD7FBDBF2750540BED193D06, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=14.951706, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDB0FB7247B49752BFDFB785BBA98__298223EA99253ECB9837595A3CD754192C87EE12, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6604, Duration=2.491683, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC76112E41FF2EEC97AE58A081C6A28F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=49.771881, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC76112E41FF2EEC97AE58A081C6A__B9D50A2CF29C52183D8F64D3713A1342A3177B65, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=3.969342, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC76112E41FF2EEC97AE58A081C6A__E3C6DA199870202DA9BBDCEBB066D00B51B4EB49, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=1.713313, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC76112E41FF2EEC97AE58A081C6A__25907FF4C626823C9CEDF02DE873B5BCC993702C, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6604, Duration=2.756160, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
